YEARMONTH,KEY,LOCATION
201904,2216,Stockholm
201903,2215,Stockholm
201903,2215,Stockholm
201902,2216,Stockholm
201902,2215,Stockholm
201910,2247,Stockholm
201906,2215,Beijing
201901,2215,Stockholm
201908,2215,Stockholm
201910,2202,Stockholm
201902,2215,Stockholm
201901,2216,Stockholm
201904,2194,Stockholm
201901,2216,Stockholm
201902,2215,Stockholm
201911,2247,Stockholm
201909,2202,London
201901,2214,London
201905,2216,Stockholm
201909,2215,Stockholm
201907,2215,London
201909,2247,London
201909,2194,London
201910,2216,Stockholm
201905,2215,Stockholm
201907,2215,Stockholm
201910,2247,Stockholm
201902,2216,Stockholm
201904,2215,Beijing
201902,2194,Stockholm
201902,2215,Stockholm
201905,2216,Stockholm
201909,2247,Stockholm
201910,2215,Beijing
201911,2194,Stockholm
201903,2215,Stockholm
201903,2215,Stockholm
201909,2216,Stockholm
201905,2215,Stockholm
201906,2215,Stockholm
201906,2215,Stockholm
201903,2216,Beijing
201901,2216,Stockholm
201906,2215,Stockholm
201907,2215,Stockholm
201909,2215,Stockholm
201911,2216,Stockholm
201910,2194,Stockholm
201901,2215,Stockholm
